Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x00000000016d4478      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\framedyn.dll
0x00000000016d4b20      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Documents\My Music\Desktop.ini
0x00000000016d7e68      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000016d9c48      3      0 RWD--- \Device\TrueCryptVolumeE\$LogFile
0x00000000016dda10      1      1 ------ \Device\Afd\AsyncConnectHlp
0x00000000016e23e8     21      1 ------ \Device\Filter\SSLFilterChannel
0x00000000016e4ab0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000016e6df8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000016e7598      1      1 ------ \Device\NamedPipe\net\NtControlPipe11
0x00000000016e7630      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\History\History.IE5\index.dat
0x00000000016ff028      1      1 ------ \Device\NamedPipe\lsass
0x00000000017005b8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001700650      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017006e8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x0000000001700788      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wups.dll
0x0000000001700820      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001701028      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Documents\desktop.ini
0x00000000017015f8      2      1 ------ \Device\NamedPipe\lsass
0x0000000001701a08      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.6.0.Microsoft.Windows.Common-Controls_6595b64144ccf1df_x-ww_5ddad775\6.0.2600.2180.Policy
0x0000000001705d18      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\NetHood\Bilder_Docs on FreeNAS Server (Nas)\Desktop.ini
0x0000000001706100      3      0 RWD--- \Device\TrueCryptVolumeE\$BitMap
0x000000000170f998      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\NetworkService\Cookies\index.dat
0x000000000170fad0      3      1 ------ \Device\NamedPipe\net\NtControlPipe11
0x000000000170fb68      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mydocs.dll
0x000000000170fc98      3      1 ------ \Device\Afd\Endpoint
0x000000000170fd30      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000001713570      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001714990      2      1 ------ \Device\NamedPipe\wkssvc
